"timestamp [UTC]",message,type,innermostMessage
"24/09/2025, 08:09:17.264",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.264","Trigger Details: MessageIdArray: 86dc2fbd083e445eb95d659115a789c3, SequenceNumberArray: 14, DeliveryCountArray: 7, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.2350000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.264","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=6cb4a50d-752b-4850-b5d9-7de1e2a0c4d0)",,
"24/09/2025, 08:09:17.215",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.214","Trigger Details: MessageIdArray: 86dc2fbd083e445eb95d659115a789c3,113f35a4ae324d77b2e5b9b047b52fa3,00d2ff8ae39b4f57886ee41b43b429fc,d36f5d9309b44c59b631848a1b2ddd00,e7195720c6b14a3b8a337986ece11d97, SequenceNumberArray: 14,12,13,15,16, DeliveryCountArray: 6,4,4,5,4, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.1880000+00:00,2025-09-24T08:10:17.1880000+00:00,2025-09-24T08:10:17.1880000+00:00,2025-09-24T08:10:17.1880000+00:00,2025-09-24T08:10:17.1880000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.214","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=a4d78cd5-ec2d-4a95-aec4-6d6803df1b2d)",,
"24/09/2025, 08:09:17.167",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.166","Trigger Details: MessageIdArray: 86dc2fbd083e445eb95d659115a789c3, SequenceNumberArray: 14, DeliveryCountArray: 5, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.1410000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.166","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=ffb71a13-f5fa-4081-954c-25d6241f730f)",,
"24/09/2025, 08:09:17.131",,"System.InvalidOperationException","Binding parameters to complex objects (such as 'Object') uses Json.NET serialization. 
1. Bind the parameter type as 'string' instead of 'Object' to get the raw values and avoid JSON deserialization, or
2. Change the queue payload to be valid json. The JSON parser failed: Error parsing boolean value. Path '', line 1, position 1.
"
"24/09/2025, 08:09:17.130","Trigger Details: MessageIdArray: d36f5d9309b44c59b631848a1b2ddd00,86dc2fbd083e445eb95d659115a789c3, SequenceNumberArray: 15,14, DeliveryCountArray: 4,4, EnqueuedTimeUtcArray: 2025-09-24T08:09:08.5140000+00:00,2025-09-24T08:09:08.5140000+00:00, LockedUntilArray: 2025-09-24T08:10:17.0940000+00:00,2025-09-24T08:10:17.0940000+00:00, SessionId: (null)",,
"24/09/2025, 08:09:17.130","Executing 'Functions.serviceBusTrigger' (Reason='(null)', Id=23a71cff-2b55-4bc7-8fbd-cc67250e2811)",,
